series,year,gross_er,net_er,fee,is_etf_ever,aum,is_active,is_levinv
S000002932,2022.0,0.0008,,0.0008,True,402397864009.4533,False,False
S000002932,2023.0,0.00075,,0.00075,True,365679100667.58417,False,False
S000002932,2024.0,0.0005499999999999999,,0.0005499999999999999,True,367885663295.69586,False,False
S000002932,2025.0,0.0005499999999999999,,0.0005499999999999999,True,424981754454.6992,False,False
S000003023,2011.0,0.0064,0.006,0.006,True,,,
S000003023,2012.0,0.0062,0.006,0.006,True,,,
S000003023,2013.0,0.0063,0.006,0.006,True,,,
S000003023,2014.0,0.006,,0.006,True,,,
S000003023,2015.0,0.0059,,0.0059,True,,,
S000003023,2016.0,0.006,,0.006,True,,,
S000003023,2017.0,0.0061,0.006,0.006,True,,,
S000003023,2018.0,0.0061,0.006,0.006,True,,,
S000003023,2019.0,0.0059,,0.0059,True,161224188.514167,False,False
S000003023,2020.0,0.0058,,0.0058,True,139195264.063333,False,False
S000003023,2021.0,0.0062,0.006,0.006,True,134502976.624167,False,False
S000003023,2022.0,0.006,,0.006,True,131601566.845833,False,False
S000003023,2023.0,0.0029,,0.0029,True,98795666.6725,False,False
S000003023,2024.0,0.0029,,0.0029,True,92694230.49,False,False
S000003023,2025.0,0.0029,,0.0029,True,105338166.15166669,False,False
S000003024,2011.0,0.0093,0.0039,0.0039,True,,,
S000003024,2012.0,0.0064,0.0041,0.0041,True,,,
S000003024,2013.0,0.0094,0.0041,0.0041,True,,,
S000003024,2014.0,0.0072,0.0041,0.0041,True,,,
S000003024,2015.0,0.0067,0.0041,0.0041,True,,,
S000003024,2016.0,0.0067,0.0039,0.0039,True,,,
S000003024,2017.0,0.0065,0.0039,0.0039,True,,,
S000003024,2018.0,0.0059,0.0039,0.0039,True,,,
S000003024,2019.0,0.0042,0.0039,0.0039,True,81859497.9741667,False,False
S000003024,2020.0,0.0039,,0.0039,True,80533569.3358333,False,False
S000003024,2021.0,0.004,0.0039,0.0039,True,120230945.396667,False,False
